"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"r_1",0.199315693482054,0.00196477717205882,0.0454552016679364,0.136052841750839,0.16676812694142,0.191391556417346,0.222335263901441,0.307940512500887,535.23015119079,1.00265844376011
"k_1",458563.072555601,3208.16227443243,106403.688521411,311844.88695025,382278.15903004,439175.130230248,513731.238454397,714995.780252427,1100.02032916409,1.0002762438086
"P_initial_1",0.221442432292611,0.00137863325942384,0.0467527286680086,0.135183511962668,0.188192600125468,0.220200820598048,0.254122999907492,0.313280514031649,1150.04920701711,1.00012818896814
"sigma_sq_1",0.00175169278424161,2.16236949856702e-05,0.000687004404184173,0.000844145415392969,0.00127249154512182,0.00161555950916381,0.00208399095941171,0.0034148457775906,1009.39053688635,1.00175094393149
"tau_sq_1",7.84309960085077,0.0632295004130043,2.1217135230952,4.52089300595021,6.31288885400847,7.54880013645554,9.04616245719865,12.8039309427112,1125.9885858502,1.00243556363866
"m_1",3.18116076240231,0.0778422316958076,3.03081122888308,1.03890469069588,1.59190653177638,2.39419162341292,3.69384290782117,10.5181096046167,1515.9581714406,1.00111981669909
"F_1[1]",0.113705961218239,0.0022833466742106,0.0734260382860278,0.0070479989435964,0.0595886789749359,0.103388756748363,0.15435300248256,0.286716442162911,1034.08558547071,1.00180684739318
"F_1[2]",0.305602413469654,0.00299250301839719,0.0903903396404981,0.142748353392767,0.245090849272832,0.29710934768502,0.35932110765367,0.502591302203628,912.378078932613,1.00102786577874
"F_1[3]",0.257990977001618,0.00266217355639807,0.0882719848945855,0.0978531060982153,0.197816895441363,0.250259031080317,0.310925154560609,0.455582222929196,1099.44384956459,1.00033012082089
"F_1[4]",0.20661435671677,0.00277278125286472,0.0860553444793942,0.0546522036908451,0.147053813912369,0.201327943835741,0.256764677503541,0.397070323516504,963.217749202417,1.00238236859062
"F_1[5]",0.165885155194601,0.00219282023692512,0.0795831045342057,0.0301558616834048,0.109771142211121,0.158860176746854,0.214086486418344,0.342527596425063,1317.15138490264,1.00077707066981
"F_1[6]",0.143872860375777,0.00274310791156174,0.0793066380183049,0.0183172056663516,0.0872403644078685,0.133411802722644,0.18957436700194,0.328775705371649,835.859520961781,1.00387962952976
"F_1[7]",0.14661133929983,0.00240923874315398,0.0776403670728846,0.0262195493282729,0.0891751690689102,0.137248598026345,0.19421612326373,0.31857888269598,1038.52147873115,1.00176710300437
"F_1[8]",0.106306150778719,0.0020020173692837,0.0660365105841548,0.0116624842537611,0.0566783681159592,0.0982091595062896,0.142888561242502,0.261847847286486,1088.00915928531,1.00128263917684
"F_1[9]",0.101695678232687,0.00207051363434707,0.0660943363610361,0.00840429767246627,0.0507480724868733,0.0921679490768311,0.139656909431221,0.255875046455026,1018.99558703434,1.00272624092725
"F_1[10]",0.090844496797982,0.00188209341567053,0.0629903977684503,0.00549029500882863,0.0420427434037798,0.08085346710726,0.127236752550582,0.242048149554146,1120.12464040822,1.00100089314572
"F_1[11]",0.179639789650207,0.0024546684730065,0.0776336027533488,0.0442359286095713,0.125346861980234,0.174681521110514,0.226472833353376,0.347862107265409,1000.26205144837,1.00337596619801
"F_1[12]",0.194702144371883,0.00267646523379621,0.0772286765512155,0.0469108272315474,0.142365317566552,0.189230822376368,0.243011340108842,0.362747700920247,832.595332882356,1.00036445899399
"F_1[13]",0.0880995442692658,0.00163133373414067,0.0600313327462838,0.00638621777091073,0.0410975090539925,0.078739993069161,0.123115961706089,0.231895286774866,1354.16110734812,1.00222267030815
"F_1[14]",0.0851078365185085,0.00174767926267929,0.0603943370173297,0.00409078983656004,0.0377134842912637,0.0756664211084946,0.119130839248278,0.228706229325945,1194.17773618749,1.00182026138483
"F_1[15]",0.0928013096811588,0.00197042329809826,0.0632251184514335,0.00622905319269373,0.0439271252733907,0.0822981949973962,0.128429456992609,0.241705917424142,1029.5803268063,1.00022332830744
"F_1[16]",0.121451643118401,0.00197539494840872,0.0697043904250203,0.0101401444923044,0.0706832799943551,0.116779532633199,0.16279489073876,0.276937957262958,1245.12338414538,1.00244167581062
"F_1[17]",0.49184207205575,0.00329101642736893,0.0846233545785792,0.33919276492026,0.433949996050825,0.487832007586998,0.541413399102777,0.677813516900528,661.181014360455,1.0035945588689
"F_1[18]",0.0520126377022628,0.00126190907696406,0.0457675909234854,0.00191854507213114,0.0173144659163686,0.0402684809300536,0.0730853459828142,0.168929864480427,1315.40648152384,1.00151513206106
"F_1[19]",0.0525738720056288,0.001317797066211,0.0442907112610739,0.00317968002673359,0.0192671087503404,0.0410241346518623,0.0745692814171697,0.163422832533528,1129.60924106782,1.00105086705022
"F_1[20]",0.132414625507699,0.00247316715610586,0.0696261392844298,0.0171675617011806,0.0821734738179911,0.12536780805011,0.174492515519181,0.28748835916363,792.57010716534,1.00461508425002
"F_1[21]",0.143045465625725,0.00211158194316897,0.0734336664710998,0.0164664791774928,0.0915889224892825,0.138173639663797,0.189240232887903,0.299015752061834,1209.41275956745,1.00084813113164
"F_1[22]",0.230013079584007,0.00235335768271466,0.074792072562424,0.0877336746322016,0.180386254276711,0.22619388672298,0.277887307322341,0.385272860448364,1010.03228640717,1.00374580777934
"F_1[23]",0.122186529989128,0.00190292583926463,0.0693322801134057,0.0102562865743686,0.0701885437302454,0.115978260775248,0.167515461315105,0.272426186889396,1327.47771562197,1.0003193563543
"F_1[24]",0.0830023279829886,0.00193043780585309,0.0588024709500385,0.0039006914727738,0.0357618671688821,0.073084614650573,0.119063918571803,0.216555311656155,927.853741995854,1.00202509929992
"F_1[25]",0.050822262505784,0.00120216212814714,0.045377878404267,0.00151396479143859,0.015476696230116,0.0392291097779837,0.0714287927246011,0.168188714371024,1424.82750314791,1.00181310038613
"F_1[26]",0.0634608912609465,0.00169610298578725,0.0511434430276707,0.00215745812517345,0.022939715260465,0.052794675838545,0.0906052342992874,0.18579606399336,909.233620766102,1.00220502196154
"F_1[27]",0.0633439346359722,0.00123886570805803,0.0506166356077974,0.00272543642587766,0.0237244744435928,0.0518659815514511,0.090193712455104,0.182970557172137,1669.31419536338,1.00142413314284
"F_1[28]",0.138480500254776,0.00186740430791995,0.0711777689768173,0.0171772613923476,0.0842107660232587,0.135076778845242,0.184420111135218,0.291895196194001,1452.82073536593,1.00237549444902
"F_1[29]",0.241044151510402,0.00237846150976845,0.0773858117123825,0.0984419553200036,0.19088512159468,0.236592172149748,0.288416338682249,0.40160305485323,1058.59644030828,1.00303149947566
"F_1[30]",0.0463714967046881,0.00107573455622927,0.0413763222629547,0.00206061124537291,0.0154350618995272,0.0349694505827558,0.0655250070294976,0.153527828197438,1479.42697052314,1.0004614812303
"F_1[31]",0.0404649361368852,0.000932799950540617,0.0400347505824386,0.00112569410120528,0.0112163403942727,0.027875319548337,0.057447955156878,0.148431405957782,1842.03223350698,1.00029775345678
"F_1[32]",0.307170110850824,0.00225563105074868,0.0834292140033864,0.152958756822694,0.250178127821382,0.303634380136225,0.361395832645687,0.485395153886888,1368.04434531624,1.001547265565
