"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"r_1",0.097773598360865,0.0500308803965027,0.116862035171128,0.0142932402322198,0.0333416776993589,0.0563721214452019,0.112483981392267,0.427312793225477,5.45595274525603,1.22965223823899
"k_1",1705594.27044862,162972.345882624,3012703.57668315,112072.70758353,400536.326232636,781818.781439424,1652593.05692558,10937644.1094182,341.731467936058,1.02194032443228
"P_initial_1",0.303306776448163,0.119609459031938,0.286463279652553,0.00783445325123954,0.0675713230232544,0.18319823396714,0.51042322160639,0.937574259560863,5.73596994636234,1.21424782217805
"sigma_sq_1",10.3169716796997,6.02979787792072,7.80169794205148,0.00106028732047668,0.00211748702357792,13.1369814831351,16.059196222665,23.0192223466696,1.67406668709095,3.05650190344208
"tau_sq_1",2.8869465902093,3.36773285881557,4.33293124696371,0.00138433413652398,0.00229288995490155,0.00368044826830468,6.87794582427156,12.3144379677483,1.65534425968383,3.22327170639029
"m_1",1.06856996583857,0.314594934364618,0.723193193415472,0.593309891256775,0.705565334686541,0.810230739332524,1.09019944049978,3.12654311529933,5.28451590504629,1.24917001284542
"F_1[1]",0.92042501573081,0.404543585332537,1.05390335691477,0.0242698633037054,0.181089059254538,0.466311350571734,1.38206484159372,3.70858279475971,6.78689198548184,1.18695462141644
"F_1[2]",0.856958247517878,0.295073022791915,0.980868739771851,0.0223890525092259,0.244932739313615,0.417361903644281,1.20779954934823,3.41539026196977,11.0500126756832,1.12890276527911
"F_1[3]",0.89679381573419,0.330053246926491,1.03447184192059,0.0395477350991878,0.21744921113847,0.420627411431905,1.24080007919252,3.80881332151607,9.82356964597349,1.1381410155996
"F_1[4]",0.913240391212737,0.354196508261618,1.04189865086663,0.0623792384987634,0.218388012185171,0.458101977578773,1.23023687823905,3.8729253919173,8.65291425828179,1.1525250017687
"F_1[5]",1.08247180220047,0.485624913517384,1.1611497155161,0.061434356659745,0.223888420860317,0.597382248208796,1.66018757602205,4.19717245435852,5.71708333319234,1.21671820095863
"F_1[6]",1.227616470217,0.585972191910498,1.29648875484311,0.0605903397161272,0.22830181083717,0.768721044484281,1.86145869308809,4.64379635367154,4.89534715693931,1.26938505652446
"F_1[7]",0.232815619933851,0.0487313383967788,0.0941266508042361,0.0337037586812369,0.181710422912972,0.244423804298119,0.295087277152293,0.399225598257895,3.73085639830856,1.39291305467976
"F_1[8]",0.372095767426893,0.0146028924671439,0.0938605077192266,0.195513354242501,0.307226196290641,0.368751320971019,0.431289951178871,0.562488412203213,41.3131227980926,1.10481040105414
"F_1[9]",0.348091779916677,0.0172924163263355,0.0900505858551557,0.16420160884534,0.290477905005039,0.347495063660235,0.404122193707294,0.530454332357686,27.1182537016244,1.13564158203132
"F_1[10]",0.325828356794194,0.0436133068895196,0.0993359883290316,0.111393955874761,0.269831586214986,0.333452368940062,0.390391052394917,0.50956657198566,5.18770413388942,1.28302505850652
"F_1[11]",0.337326338130964,0.0798161549450707,0.124563321857604,0.0723966725792302,0.257230540936605,0.362739510637948,0.422276117525509,0.53745521726376,2.43555958224083,1.73674328988459
"F_1[12]",0.326624703830637,0.0866378154795609,0.127358834140079,0.0577049620192081,0.236944355214096,0.359374154994095,0.418534360293322,0.520616309718188,2.16094226157074,1.85481192542095
"F_1[13]",0.678869260841609,0.285378097852491,0.374070373675143,0.0668930121284683,0.248821453120135,0.8040708148632,0.953900150739075,1.24298411218926,1.71816690381465,3.13936218733096
"F_1[14]",0.435860947859753,0.178212354400816,0.233636929683674,0.0149328814340131,0.181251174047682,0.522164326275397,0.614157344552683,0.756883711641471,1.71872884286782,3.03657786439242
"F_1[15]",0.492927175419827,0.214382495116915,0.278112857809262,0.0225876728662045,0.167745665924923,0.606597063908144,0.703112091624799,0.876081373877444,1.68292008327796,3.37605979748268
"F_1[16]",0.346909724945097,0.137390650888609,0.179314683749805,0.0217256977737339,0.159716982696723,0.420992115048082,0.482170653936981,0.587396738717318,1.70340276228106,3.11883676134383
"F_1[17]",0.468413314520824,0.155255918190695,0.203330926246942,0.095311430583741,0.247214932097257,0.547955135212493,0.62562728302138,0.737281446222109,1.71518334162708,3.03302299661272
