"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"r_1",0.0617107492482605,0.000195017002058525,0.00493591620721666,0.0515258130028261,0.0585423944342719,0.0618004992828187,0.0651171748907219,0.0710386351665183,640.605414629623,1.00601247218592
"k_1",339533.818711284,2973.68595149558,54713.9714333702,284510.750845686,309345.71011489,327010.216043818,352904.131034188,480688.890546353,338.537105323577,1.00721833157168
"P_initial_1",0.260859873174041,0.00125942167607732,0.0269686471620523,0.189441074550091,0.248547656471376,0.26519942434526,0.277898491388192,0.300669473383999,458.53869980852,1.00416281707975
"sigma_sq_1",0.00739811714787072,5.01045721316044e-05,0.0017883009045695,0.00478872637302241,0.00614755556775848,0.00707082557543786,0.00838721619709834,0.0116420544983006,1273.87400919872,1.00016350927652
"sigma_1",0.0854262430686946,0.000280379563817964,0.0100249323117907,0.0692006240048538,0.0784063490247366,0.0840882011218865,0.091581745969503,0.107898352321591,1278.41008008929,1.0003318792846
"P_med_1[1]",0.260859873174041,0.00125942167607732,0.0269686471620523,0.189441074550091,0.248547656471376,0.26519942434526,0.277898491388192,0.300669473383999,458.53869980852,1.00416281707975
"P_med_1[2]",0.273881632447106,0.00135501231143274,0.0288841297902441,0.196877822577666,0.260404351284484,0.278485492565491,0.292321044754001,0.316480109611725,454.393482275296,1.00432448642555
"P_med_1[3]",0.286133971536359,0.00144856076427339,0.0307707734580306,0.203765122209574,0.271599150419035,0.29100924650484,0.30598682468986,0.331785641499773,451.23563586975,1.00446830562072
"P_med_1[4]",0.298821934030469,0.00154681910837195,0.0327614991180035,0.211701579679005,0.283402022242316,0.303982974563271,0.320052330712024,0.347884794413325,448.588850954513,1.00460346458789
"P_med_1[5]",0.31184186857888,0.00164913862444022,0.0348434684776791,0.220107299561235,0.295324554663011,0.317262477178954,0.334688606306618,0.364136216044238,446.404365954951,1.00472974044403
"P_med_1[6]",0.324719576117722,0.00175087342377806,0.0369601686976423,0.227777269646143,0.306802021607697,0.330442844878497,0.349024475937923,0.380509921462151,445.613550062626,1.00484593719583
"P_med_1[7]",0.338017598778711,0.00185637012912454,0.0391724334082804,0.235722370337972,0.319014919328007,0.344267406238067,0.363868892041673,0.398036789271976,445.278738651513,1.00495482074555
"P_med_1[8]",0.347045833984455,0.00193973461757227,0.0409365838408232,0.240792761142071,0.326883166700417,0.353458472459001,0.374132206151176,0.409801378919694,445.388052412595,1.00504512141977
"P_med_1[9]",0.360986349056952,0.00205252232610799,0.0433075545445368,0.249714334621552,0.339422674779159,0.367764524839438,0.389569961437576,0.427495967927528,445.196296072489,1.00514051094948
"P_med_1[10]",0.375192786282453,0.00216790714058338,0.0457417770653737,0.258043119254602,0.352059898861373,0.382099722745549,0.405527601189157,0.445679721688385,445.189296420576,1.0052293112551
"P_med_1[11]",0.391880485606986,0.00229820295304474,0.0484868015961187,0.268508758463127,0.367241462597362,0.39895877140095,0.424321775661738,0.467636158788726,445.113039912209,1.00531509446761
"P_med_1[12]",0.408044790471278,0.00242558157606079,0.0511793360016733,0.278619757105652,0.381878131624439,0.415216122019897,0.442344610536379,0.488029474417694,445.202427545002,1.00539366971862
"P_med_1[13]",0.421804551625119,0.00253876390038532,0.0535890002112683,0.287053997622986,0.394174643453223,0.429029930318113,0.457747459430348,0.506513990976404,445.560498050899,1.00546434195443
"P_med_1[14]",0.439317073591661,0.00267272857771553,0.0564236415074152,0.298246765220954,0.410191085520681,0.446681979876239,0.477164849854786,0.528753409786165,445.669084248972,1.00553304336884
"P_med_1[15]",0.459109264295362,0.00281781397521252,0.0594813962092698,0.311178090455802,0.428106212235021,0.467203146168062,0.498755322354886,0.553377659637052,445.592293289117,1.00559818987005
"P_med_1[16]",0.479554174010388,0.00296335194504294,0.0625395555588776,0.323689255433019,0.44678698103177,0.487973616296437,0.52111859235063,0.578088200901593,445.392719175306,1.0056590789197
"P_med_1[17]",0.500599624309976,0.00310777945365375,0.0655606327971821,0.338099057053379,0.46650113606793,0.509524525660726,0.544301060076915,0.603456116396526,445.026519052342,1.00571615936139
"P_med_1[18]",0.52178168857732,0.00324705518878679,0.0684564090491828,0.352975204006494,0.486218650338777,0.53097372697042,0.567581879768899,0.629202744522765,444.476585378349,1.00576979131309
"P_med_1[19]",0.543616247924816,0.00338268340564645,0.0712537226455515,0.367649153138871,0.506468347002602,0.553511607764734,0.59157270792488,0.654507318200154,443.703047994196,1.00582050909635
"P_med_1[20]",0.564743464569703,0.00350527368236653,0.0737561898848683,0.382173555124574,0.526165809422079,0.575116300375218,0.614592248411197,0.678637636478341,442.74440647035,1.00586864343451
"P_med_1[21]",0.585852839955128,0.00361790580458944,0.0760199662988668,0.397120339113304,0.546088013412851,0.596801301728433,0.637440063796266,0.702190024883343,441.510294841537,1.00591463540177
"P_med_1[22]",0.608914141629376,0.00373065198694707,0.0782440406885104,0.413899160481433,0.568010298045531,0.620631977779686,0.661958416955352,0.727879496003296,439.878833575706,1.00595865201047
"P_med_1[23]",0.631927651107303,0.00382978175600916,0.0801410742579544,0.431237787550348,0.59097656240843,0.64432228013488,0.686397113144515,0.752008611709952,437.887217164642,1.00600118342626
"P_med_1[24]",0.65517508156645,0.00391574127120186,0.0817166235842105,0.448380718487102,0.614261544422672,0.668173789435773,0.710610651140068,0.775826771327197,435.50470450728,1.00604249303013
"P_med_1[25]",0.678358705566576,0.00398563630272698,0.0829092595479391,0.466020653839206,0.637450485491406,0.692181913877733,0.734800449589268,0.799024579201502,432.723759104263,1.00608293295521
"P_med_1[26]",0.701626041286733,0.00404077366590031,0.0837195470692552,0.484414212065755,0.660930801815215,0.715893405071473,0.758546641434516,0.821259082826028,429.264219149201,1.00612274341557
"P_med_1[27]",0.724387096101993,0.00407765747907854,0.0840665507629193,0.502120400355782,0.684417629388312,0.739342608284304,0.781315055070653,0.842427231547116,425.035272588922,1.0061623790914
"P_med_1[28]",0.74546384030566,0.00408814066593561,0.0838213807884586,0.52046007759917,0.707041902737609,0.760954770117946,0.802217596316437,0.860439280798149,420.395404492027,1.00620255971728
"P_med_1[29]",0.765889002874005,0.00407890426789561,0.0831444667409573,0.540986337396739,0.729152393842284,0.782128392099514,0.821827638522872,0.876505051060737,415.508277018362,1.00624324057447
"P_med_1[30]",0.783138454397144,0.00403646889319696,0.0817723683779741,0.560309849656644,0.748370799627702,0.79966586072914,0.837873528704231,0.88879150986536,410.402438835009,1.00628581141914
"P_med_1[31]",0.800354602835318,0.00398252134975366,0.0801570297618894,0.580435600669046,0.768322230772416,0.817229958813771,0.853561944622189,0.900838276795713,405.104443158784,1.00632931212851
"P_med_1[32]",0.818084411875048,0.00392041994526858,0.0783788588148606,0.601634053948501,0.78814877474557,0.835289843558016,0.869693745535842,0.913690038222882,399.698659568513,1.00637368691237
"P_med_1[33]",0.834513185081222,0.00384021006434423,0.0762383071323446,0.622820597302075,0.806808757532305,0.851746616543433,0.884091658877059,0.924572607505642,394.127306703721,1.00641998263973
