"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"r_1",0.53415582133433,0.0136019941470108,0.265105167009371,0.236099662569398,0.364940599309991,0.47557822829137,0.624116501267901,1.17557758001681,379.866694374891,1.01563135875819
"k_1",380685.13066141,2292.75665530975,52197.5361208759,301550.578042251,342676.566380381,371885.599024132,411862.620662295,508286.316316422,518.303428266902,1.00824547353605
"P_initial_1",0.237854525445907,0.00138223794877836,0.0326456602072456,0.174486144447336,0.215230076563328,0.239134290821113,0.260082020874076,0.301245331035651,557.80870513202,1.00599564663456
"sigma_sq_1",0.00252888534690529,5.84547617236576e-05,0.00124962734276669,0.00106522838386978,0.00166677298964642,0.00223874772882246,0.00302184906790066,0.00590948740367874,457.005313477789,1.00976020438205
"tau_sq_1",14.6179963667478,0.202902616812611,7.13404098625403,6.19039719262515,10.0035561325933,13.1315795875127,17.2642861541908,32.9862511254149,1236.22039421705,1.00729032230608
"m_1",1.40106754702213,0.0492720629638188,0.858073866440192,0.603724890343197,0.832493520280813,1.14039973032407,1.67115493456451,3.62906069100632,303.282854080903,1.02023061132881
"F_1[1]",0.846830073338692,0.0330755161093964,0.471990816353926,0.2062164022929,0.517366946969712,0.753323069012984,1.08615212512916,1.98148725500981,203.635662476764,1.01263006164221
"F_1[2]",1.02367163410103,0.0368136855298646,0.546107370485125,0.34114138544337,0.639835647894642,0.912340958078542,1.25506427358573,2.3655979759177,220.058161182622,1.01244536344489
"F_1[3]",0.994240540953342,0.0371819547605989,0.556019113879212,0.309034448378826,0.619580049523712,0.874163956621391,1.22558716375955,2.33356175744314,223.62224662082,1.01026029486994
"F_1[4]",0.921409451661934,0.0355771449618611,0.509432554858784,0.256709418928103,0.564512875725074,0.816308888654964,1.15751534255393,2.17756059842566,205.036510856089,1.01120721591497
"F_1[5]",0.902940046161663,0.0341543899967658,0.47036324701477,0.255385780058889,0.567986825292905,0.815952978067646,1.13210595449501,2.05171980727108,189.659103397905,1.01387668769046
