"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"r_1",0.0760248579092635,0.000233116522330785,0.0088855816208488,0.0590629240507299,0.0698284742340599,0.0759801010546381,0.0820051483702506,0.0937816354113592,1452.86616523718,1.0017728924987
"k_1",17768.5024667375,324.058101862509,10132.6728053153,4414.88278590304,9088.00432443244,15543.0288857721,25341.2314079394,39166.8593908222,977.692470191299,1.00482171448233
"P_initial_1",0.0584864359953708,0.00122707835507386,0.0398995440599332,0.0176207497474044,0.0278940390319571,0.0451207465547825,0.0778733269944169,0.164473650037211,1057.28306247762,1.00462344078891
"sigma_sq_1",0.0849335801664437,0.000564475160291529,0.0229478034364127,0.0509815846808671,0.0687156878141487,0.0814614143385028,0.096889299089874,0.141978570322418,1652.69445985479,1.00017840765969
"sigma_1",0.288962858089108,0.000919418018826752,0.0378735450251346,0.22579101964458,0.262136772892403,0.285414460509066,0.311270459155285,0.376800438322014,1696.85953709928,1.00004753471889
"P_med_1[1]",0.0584864359953708,0.00122707835507386,0.0398995440599332,0.0176207497474044,0.0278940390319571,0.0451207465547825,0.0778733269944169,0.164473650037211,1057.28306247762,1.00462344078891
"P_med_1[2]",0.0601873002057399,0.00126658296758477,0.041096338264607,0.0181619982407829,0.02869520928979,0.0463785701866982,0.0800797588046052,0.169385678570944,1052.78325276066,1.00464219511186
"P_med_1[3]",0.0624306156968319,0.00131821206937865,0.0426591143945375,0.0189152764573619,0.0297778630598245,0.0480936123641579,0.0830391864026532,0.175788446481105,1047.25659297013,1.0046622797675
"P_med_1[4]",0.0655050051709687,0.00138828596989842,0.0447801586764323,0.0198655954042638,0.0312272122786828,0.0504830763156436,0.0870134119436184,0.184983241977235,1040.4312474145,1.00468358512148
"P_med_1[5]",0.0683176832640982,0.00145323875267994,0.0467374164879445,0.0206662353554671,0.0324527541806808,0.0526053599205318,0.0907142571999351,0.193201836491322,1034.32128845879,1.00470382151236
"P_med_1[6]",0.0719216845880405,0.00153588110253521,0.0492296213068688,0.0217331728973852,0.0341092038551781,0.0554055725306716,0.0953009407962249,0.203418854203643,1027.39582439552,1.00472415506083
"P_med_1[7]",0.0767888740277149,0.00164649735031823,0.0525713951414839,0.0232110183361888,0.0363727073292565,0.0590900961187144,0.102027752559645,0.216995734212289,1019.47582724597,1.00474401161529
"P_med_1[8]",0.0821053597151374,0.00176766457283019,0.0562224579871692,0.0248807027450257,0.0387889055365911,0.0631457541630777,0.109411622982485,0.232206282597261,1011.62590341387,1.00476252941148
"P_med_1[9]",0.0879034046783041,0.00190012337717294,0.0602034347371927,0.0266766422097176,0.0414872665900584,0.067635906297662,0.117503162334527,0.249619891165179,1003.87337663423,1.00477962786954
"P_med_1[10]",0.0942169914848067,0.00204462840256978,0.0645350153154244,0.0286455852231797,0.0445004206319236,0.0725743986062051,0.126018184520878,0.266044490811971,996.23559792743,1.00479525884273
"P_med_1[11]",0.101081721076922,0.00220193488727036,0.0692374758467668,0.030701745328447,0.0479091913918922,0.077720724801759,0.135076598777431,0.285053541011878,988.720430731317,1.00480940227417
"P_med_1[12]",0.108617171447096,0.00237456109439502,0.0743850825984192,0.0329540037070863,0.0514354806960182,0.0834672922342214,0.14516871278138,0.306657208132366,981.307240787212,1.00482198545129
"P_med_1[13]",0.116619912174199,0.00255798423549753,0.0798335936090882,0.0354244100712103,0.0552042664447999,0.0896929507384533,0.155849562359399,0.329966159618616,974.03739507362,1.00483325781865
"P_med_1[14]",0.125200103450933,0.00275436873869497,0.0856456458667075,0.0380092894105768,0.059188713028716,0.0963953776069856,0.166886798390469,0.353726032520909,966.866284773867,1.00484318231273
"P_med_1[15]",0.134308602677377,0.00296233328783219,0.091773417550782,0.0407764009234497,0.0635033192672615,0.103258064864281,0.178553899509432,0.379020641535553,959.767350250173,1.00485187230138
"P_med_1[16]",0.143725208812219,0.00317668785532283,0.0980511006476684,0.0436641037954502,0.0681050819780795,0.110574679404881,0.191610681426588,0.4046110062344,952.699332209975,1.00485958438143
"P_med_1[17]",0.153542249993548,0.00339889364696045,0.104519213326089,0.0466887024040393,0.0729439147132147,0.118403916075469,0.205237464589137,0.432255800921099,945.62101154627,1.00486621977449
"P_med_1[18]",0.164681260077457,0.00364722438980972,0.111765467015175,0.0500224904693101,0.0784378103060727,0.12694072167319,0.220415469018306,0.462132674296295,939.053438963442,1.00487096182711
"P_med_1[19]",0.17663396965152,0.00390961078769173,0.119405622178901,0.0535805429771347,0.0844645121413571,0.136340933570814,0.236467186946436,0.494990264710497,932.787039253013,1.00487433840126
"P_med_1[20]",0.189430031705565,0.00418620407019402,0.127411186597579,0.0576316452396455,0.0908751041409724,0.146597453919219,0.254322520345085,0.528570176791123,926.348344048059,1.00487633226943
"P_med_1[21]",0.203011850407717,0.00447413878844721,0.135686603150025,0.0616337228691232,0.0981926723452773,0.157797752497934,0.272757703390877,0.564147842675294,919.718742375653,1.00487697034538
"P_med_1[22]",0.217393919638526,0.00477182144386258,0.144177353032164,0.0661222118562894,0.105785178199669,0.169751389483046,0.291901870093068,0.598627130787619,912.905296986146,1.00487622490162
"P_med_1[23]",0.232584305819814,0.00507721155051606,0.15281729932389,0.0710306529114564,0.113924300427969,0.182438857851878,0.313888051084852,0.633826035623545,905.929750153976,1.00487410231019
"P_med_1[24]",0.248501381263369,0.00538605378195023,0.161475090478526,0.0760959294538633,0.122230237542159,0.195871079406915,0.33732332626864,0.666750418042634,898.813737795181,1.00487069417618
"P_med_1[25]",0.265299843622061,0.00569898826370111,0.170174682120648,0.0812421392342905,0.130817156363845,0.210177652733796,0.361416615835551,0.699365990119805,891.649911615586,1.00486613229682
"P_med_1[26]",0.282886082216269,0.00601097039775466,0.178768326707349,0.0868217463597027,0.140765416820234,0.225351105229235,0.3863653324216,0.731949031717744,884.488054354222,1.00486074134672
"MNPL",10661.2947171948,194.438385334861,6079.71387867931,2648.97768455693,5452.90142910424,9325.98636600323,15205.0144373412,23500.5415844229,977.692470191299,1.00482171448233
"N_med[1]",709.047448989369,1.64497505264699,74.6107280225544,576.143846829553,657.839387720582,703.606540115082,754.664794248858,871.608208552433,2057.23509059623,1.00017010537029
"N_med[2]",729.26165039561,1.61737411614662,74.6765530933221,595.021260238283,678.551192101589,723.89722670907,774.742747384942,891.363304378506,2131.80536197118,1.00010763120238
"N_med[3]",756.013350333797,1.58457379326837,74.7368255394787,621.845906722228,704.983608682111,750.522564858316,801.774406116454,918.583883824331,2224.56119073235,1.00004053162097
"N_med[4]",792.797045216094,1.54619012194506,74.7780556660136,659.244683431558,741.333892662344,787.197032058153,839.413031149479,955.052320233584,2338.95867451141,0.999969011151143
"N_med[5]",826.369950744626,1.52084049140844,74.7755618365191,692.323457439257,774.747939451019,820.911372316994,873.079741809219,988.297835380491,2417.41958373083,0.999893566852457
"N_med[6]",869.49148753306,1.49212170733471,74.8135433836879,733.414228567093,818.736913471408,865.275034453692,916.849572269601,1029.70924473773,2513.9228895607,0.999817541757344
"N_med[7]",927.880517621336,1.4599157837348,74.9131383427024,791.162522498257,877.07336569418,923.738137514793,975.106389300956,1089.05460392531,2633.05769226409,0.999744443058045
"N_med[8]",991.682343267872,1.42417269899098,75.098225978139,854.311326705152,941.148687025216,987.468807354903,1039.2316616596,1151.57735688976,2780.57134871805,0.99967970958188
"N_med[9]",1061.29879472656,1.38802992691432,75.501940716734,922.590394259203,1010.69352668467,1057.15472585665,1109.5857065151,1221.19003715769,2958.82016663128,0.999633182396216
"N_med[10]",1137.15828809902,1.3567419068562,76.3108227874563,994.92362274772,1086.25349825531,1132.63961609121,1186.98660574658,1297.20195976324,3163.57250997856,0.999617967978566
"N_med[11]",1219.71651301537,1.33839125070711,77.7721038559188,1076.49429918756,1167.60698369049,1215.46886187187,1270.00243221352,1381.37619069769,3376.61477981706,0.9996489908388
"N_med[12]",1310.45678874974,1.34426920376381,80.1935273852421,1163.78140980131,1256.64369447231,1306.92775541455,1363.46288225251,1477.84995078221,3558.82091902654,0.99973917243599
"N_med[13]",1406.96357891733,1.38817925167379,83.9293383315352,1250.83743113543,1350.2237736454,1403.1741860401,1461.91495766729,1578.94274771193,3655.41340967564,0.999893534276511
"N_med[14]",1510.632871577,1.4844648040275,89.3627019900489,1340.04975646026,1449.88475238266,1507.30801596782,1567.66169673588,1692.66813132692,3623.87136396307,1.00010377971247
"N_med[15]",1620.95115954197,1.64456856355788,96.8592599792423,1438.11108466378,1555.16796539961,1617.88658221929,1681.92811097129,1816.14359303098,3468.79252482406,1.00034788849426
"N_med[16]",1735.35282099217,1.8752968802899,106.741650844275,1533.78815233554,1663.52854241509,1731.72333059551,1804.32671195761,1953.87803998735,3239.8713705491,1.00059672819377
"N_med[17]",1855.07270152603,2.17923883307375,119.27088525336,1630.99441453588,1775.00138115348,1851.72023653009,1932.02410073024,2101.67000876439,2995.43035767645,1.00082407619791
"N_med[18]",1991.41963036057,2.55685349528476,134.654826360426,1739.14417532955,1902.0316152951,1987.25477470849,2075.54766727762,2271.14096252809,2773.5254802272,1.00101353547784
"N_med[19]",2138.47142636195,3.02459381816624,153.111072610138,1854.22104157263,2034.14893720248,2131.78860370738,2234.31029924526,2457.40605698146,2562.58970739485,1.00115825245923
"N_med[20]",2296.8472960784,3.57218282568895,174.862237038844,1973.12394317558,2177.50904554342,2288.55820450043,2407.61829879209,2660.65587183968,2396.20904890071,1.00125997038103
"N_med[21]",2466.16583801836,4.20089940101129,200.165601312128,2097.5799493182,2329.9934189191,2455.33032593285,2595.42209203039,2883.14780865037,2270.35791550903,1.00132521419143
"N_med[22]",2646.97146572885,4.91623357477748,229.328017288039,2227.52235391714,2488.17320169264,2634.15537866805,2795.20901636445,3128.47199120457,2175.95152285755,1.00136280548908
"N_med[23]",2839.79149446427,5.72595664619571,262.724285966289,2364.61260317735,2657.17246895269,2822.79739322276,3009.36715697642,3388.61529972446,2105.25316941907,1.00138205666859
"N_med[24]",3044.12799451609,6.64047142668328,300.80987993983,2505.29117339519,2834.03672141654,3025.22121648543,3238.15437167866,3678.85739374342,2052.04257933105,1.00139187814737
"N_med[25]",3262.3903406145,7.6730670664259,344.121665915962,2650.38268160291,3020.65861852914,3239.70725108775,3486.22481209426,3988.99322065527,2011.34256768615,1.00140039375889
"N_med[26]",3494.0625300243,8.84069377175131,393.303770984998,2801.38832097741,3214.49038232712,3465.76952562629,3747.09110004026,4325.3206152738,1979.17194344681,1.00141420244973
"lp__",2.77879901547321,0.0544491221387968,1.64447265618538,-1.48805801824664,1.96963911369045,3.16837152648232,3.99644002512421,4.7876551185207,912.161102807115,1.00200448992034
