"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"r_1",0.0429638136048621,2.19625880421823e-05,0.000949889564830663,0.0411141053964427,0.0423087475626819,0.0429500824250589,0.0436163141601274,0.0448239329087663,1870.59255889807,1.00139058042116
"k_1",15020.780135614,269.598286008111,9195.99309972046,4260.20921477411,7184.91348812027,12133.3676231931,21678.0609401372,34668.169097438,1163.49097749674,1.00011642359903
"P_initial_1",0.154703927519153,0.00277477191951605,0.0962066821506887,0.0451407417306466,0.0721287883340759,0.12893793568048,0.218035026772414,0.36806270749398,1202.14233984959,1.00011534018276
"sigma_sq_1",0.00134584258112546,7.45203327429334e-06,0.000325406685677269,0.000837514776031363,0.00110602275869274,0.00129753273899039,0.00153206777649121,0.00208737948132628,1906.79222430289,1.00014155980075
"sigma_1",0.0364295467042165,9.81159087467439e-05,0.00432843989200984,0.028939847545968,0.0332569204631113,0.036021281751075,0.0391416373321025,0.0456878481105671,1946.1841023603,1.00029604448271
"P_med_1[1]",0.154703927519153,0.00277477191951605,0.0962066821506887,0.0451407417306466,0.0721287883340759,0.12893793568048,0.218035026772414,0.36806270749398,1202.14233984959,1.00011534018276
"P_med_1[2]",0.153649033640244,0.0027560298259705,0.0955536367224495,0.0448056065012487,0.0716253008239842,0.128047914340384,0.216598040425245,0.36558151231846,1202.0612989048,1.00011537269616
"P_med_1[3]",0.156005601140157,0.00279858598094141,0.0970226959500111,0.0454957967402329,0.072721336969216,0.130066142511496,0.219833538158645,0.371180580040966,1201.90285741412,1.00011581635939
"P_med_1[4]",0.160340056041587,0.00287669669487927,0.0997223954186186,0.0467628605809307,0.0747118775363637,0.133662646741295,0.225977427657098,0.381452006010801,1201.70330452898,1.00011649503638
"P_med_1[5]",0.161601700426153,0.00289962627469931,0.100511230899177,0.047171651512784,0.0752636054004443,0.134744743063201,0.227846308636546,0.384463133463498,1201.55908164257,1.00011685507144
"P_med_1[6]",0.164399121275954,0.00295016705072578,0.102255755121206,0.0479885276449203,0.0765464256575553,0.136969188405379,0.231876494036454,0.391102708113297,1201.38527290087,1.00011739208354
"P_med_1[7]",0.166724296352254,0.00299224718006721,0.103707006469809,0.0486900779000618,0.0776581073730174,0.138803615320903,0.23524840045638,0.396830671321676,1201.21643094335,1.0001178987228
"P_med_1[8]",0.169544570444352,0.0030432468718409,0.105466736998607,0.0495122894650058,0.0790139598127085,0.141112507331758,0.239320228548023,0.403795969895361,1201.03773035136,1.00011847093002
